,人口密度,休闲娱乐POI数量,就业办公POI数量,公共服务POI数量,交通设施POI数量,商品住宅POI数量,道路密度,地铁站点数量,公交站点数量,土地混合度,到市中心距离,到最近公交距离
人口密度,1.0,0.5425631988478035,-0.062126037150015766,0.5317306423510857,0.5014082139775453,-0.06354906791155877,-0.08290250106620824,-0.040507214182183775,0.11272486251386832,-0.16753793627874697,0.20971261412363987,0.13302459465640815
休闲娱乐POI数量,0.5425631988478035,1.0,0.5317685533156605,0.8229767263279495,0.6867399661477863,0.5890137444946302,0.4150287970021768,0.4552945486677847,0.4082545601629929,0.4961127698938268,-0.45264998933604866,-0.4019515467811065
就业办公POI数量,-0.062126037150015766,0.5317685533156605,1.0,0.5130372476033763,0.6125808534175461,0.41210824887286207,0.03676829207022652,0.16871829693614424,0.3240150807216404,0.2934513869288303,-0.3232911905306166,-0.22953053910396637
公共服务POI数量,0.5317306423510857,0.8229767263279495,0.5130372476033763,1.0,0.7576940934037678,0.6308750343993084,0.6153218020009386,0.5841173178310762,0.4380697596887297,0.5259329874272818,-0.49896585445917385,-0.4597009641539038
交通设施POI数量,0.5014082139775453,0.6867399661477863,0.6125808534175461,0.7576940934037678,1.0,0.6205976207244106,0.6735518629956431,0.46690993204168735,0.574373570132517,0.4730875091548586,-0.6156871237272451,-0.6118309736494671
商品住宅POI数量,-0.06354906791155877,0.5890137444946302,0.41210824887286207,0.6308750343993084,0.6205976207244106,1.0,0.036682223771706116,0.2213531628059795,0.3795715721033436,0.24906110508147783,-0.38807665064091695,-0.21875510104956142
道路密度,-0.08290250106620824,0.4150287970021768,0.03676829207022652,0.6153218020009386,0.6735518629956431,0.036682223771706116,1.0,0.1233185464865302,0.16177687200362312,0.19395604066702274,-0.06520667887604543,-0.1658824667782937
地铁站点数量,-0.040507214182183775,0.4552945486677847,0.16871829693614424,0.5841173178310762,0.46690993204168735,0.2213531628059795,0.1233185464865302,1.0,0.2837029655238071,0.12449180706991525,-0.1642023716317043,-0.1220808309869454
公交站点数量,0.11272486251386832,0.4082545601629929,0.3240150807216404,0.4380697596887297,0.574373570132517,0.3795715721033436,0.16177687200362312,0.2837029655238071,1.0,0.3328866177160307,-0.47332383417145973,-0.36549440285932216
土地混合度,-0.16753793627874697,0.4961127698938268,0.2934513869288303,0.5259329874272818,0.4730875091548586,0.24906110508147783,0.19395604066702274,0.12449180706991525,0.3328866177160307,1.0,-0.5710051122769637,-0.534515050511644
到市中心距离,0.20971261412363987,-0.45264998933604866,-0.3232911905306166,-0.49896585445917385,-0.6156871237272451,-0.38807665064091695,-0.06520667887604543,-0.1642023716317043,-0.47332383417145973,-0.5710051122769637,1.0,0.7078640820380162
到最近公交距离,0.13302459465640815,-0.4019515467811065,-0.22953053910396637,-0.4597009641539038,-0.6118309736494671,-0.21875510104956142,-0.1658824667782937,-0.1220808309869454,-0.36549440285932216,-0.534515050511644,0.7078640820380162,1.0
